Date,Weight,Fat
2017-08-26,220.26,32.224
2017-08-27,220.26,32.236
2017-08-28,220.59,32.217
2017-08-29,220.2,32.434
2017-08-30,219.82,32.651
2017-08-31,220.01,32.648
2017-09-01,220.19,32.645
2017-09-02,220.19,32.453
2017-09-03,220.19,32.441
2017-09-04,219.82,32.421
2017-09-05,219.9,32.391
2017-09-06,219.97,32.361
2017-09-07,220.05,32.331
2017-09-08,220.13,32.298
2017-09-09,219.71,32.308
2017-09-10,219.71,32.338
2017-09-11,219.24,32.553
2017-09-12,220.03,32.535
2017-09-13,220.81,32.516
2017-09-14,220.81,32.478
2017-09-15,220.81,32.439
2017-09-16,221.54,32.372
2017-09-17,222.77,32.284
2017-09-18,223.65,32.355
2017-09-19,217.94,32.308
2017-09-20,219.66,32.548
2017-09-21,220.48,32.981
2017-09-22,221.07,32.651
2017-09-23,221.14,32.785
2017-09-24,222.53,32.54
2017-09-25,220.66,32.597
2017-09-26,221.21,32.63
2017-09-27,221.76,32.664
2017-09-28,221.16,32.602
2017-09-29,221.6,32.763
2017-09-30,220.41,33.014
2017-10-01,222.24,32.936
2017-10-02,221.87,32.941
2017-10-03,223.63,33.178
2017-10-04,222.38,33.577
2017-10-05,223.79,33.666
2017-10-06,221.38,33.65
2017-10-07,221.24,33.891
2017-10-08,221.11,34.132
2017-10-09,220.96,34.375
2017-10-10,221.58,34.414
2017-10-11,221.58,34.589
2017-10-12,221.58,34.446
2017-10-13,221.01,34.474
2017-10-14,220.06,34.47
2017-10-15,219.11,34.466
2017-10-16,220.02,34.39
2017-10-17,220.92,34.313
2017-10-18,220.26,34.272
2017-10-19,220.26,34.235
2017-10-20,222.38,34.09
2017-10-21,222.97,33.999
2017-10-22,222.97,34.039
2017-10-23,222.97,34.079
2017-10-24,222.97,34.12
2017-10-25,223.54,34.051
2017-10-26,225.2,33.754
2017-10-27,223.39,33.75
2017-10-28,223.18,33.731
2017-10-29,222.98,33.712
2017-10-30,222.77,33.692
2017-10-31,225.15,33.652
